"繁對簡",,,
"壶","58F6","壺","58FA"
"护","62A4","護","8B77"
"沪","6CAA","滬","6EEC"
"户","6237","戶","6236"
"哗","54D7","嘩","5629"
"华","534E","華","83EF"
"画","753B","畫","756B"
"划","5212","劃","5283"
"话","8BDD","話","8A71"
"怀","6000","懷","61F7"
"坏","574F","壞","58DE"
"欢","6B22","歡","6B61"
"环","73AF","環","74B0"
"还","8FD8","還","9084"
"缓","7F13","緩","7DE9"
"换","6362","換","63DB"
"唤","5524","喚","559A"
"痪","75EA","瘓","7613"
"焕","7115","煥","7165"
"涣","6DA3","渙","6E19"
"黄","9EC4","黃","9EC3"
"谎","8C0E","謊","8B0A"
"挥","6325","揮","63EE"
"辉","8F89","輝","8F1D"
"毁","6BC1","毀","6BC0"
"贿","8D3F","賄","8CC4"
"秽","79FD","穢","7A62"
"会","4F1A","會","6703"
"烩","70E9","燴","71F4"
"汇","6C47","匯","532F"
"讳","8BB3","諱","8AF1"
"诲","8BF2","誨","8AA8"
"绘","7ED8","繪","7E6A"
"荤","8364","葷","8477"
"浑","6D51","渾","6E3E"
"伙","4F19","夥","5925"
"获","83B7","獲","7372"
"货","8D27","貨","8CA8"
"祸","7978","禍","798D"
"击","51FB","擊","64CA"
"机","673A","機","6A5F"
"积","79EF","積","7A4D"
"饥","9965","饑","9951"
"迹","8FF9","跡","8DE1"
"讥","8BA5","譏","8B4F"
"鸡","9E21","雞","96DE"
"绩","7EE9","績","7E3E"
"缉","7F09","緝","7DDD"
"极","6781","極","6975"
"辑","8F91","輯","8F2F"
"级","7EA7","級","7D1A"
"挤","6324","擠","64E0"
"几","51E0","幾","5E7E"
"蓟","84DF","薊","858A"
"剂","5242","劑","5291"
"济","6D4E","濟","6FDF"
"计","8BA1","計","8A08"
"记","8BB0","記","8A18"
"际","9645","際","969B"
"继","7EE7","繼","7E7C"
"纪","7EAA","紀","7D00"
"夹","5939","夾","593E"
"荚","835A","莢","83A2"
"颊","988A","頰","9830"
"贾","8D3E","賈","8CC8"
"钾","94BE","鉀","9240"
"价","4EF7","價","50F9"
"驾","9A7E","駕","99D5"
"歼","6B7C","殲","6BB2"
"监","76D1","監","76E3"
"坚","575A","堅","5805"
"笺","7B3A","箋","7B8B"
"间","95F4","間","9593"
"艰","8270","艱","8271"
"缄","7F04","緘","7DD8"
"茧","8327","繭","7E6D"
"检","68C0","檢","6AA2"
"碱","78B1","堿","583F"
"硷","7877","鹼","9E7C"
"拣","62E3","揀","63C0"
"捡","6361","撿","64BF"
"简","7B80","簡","7C21"
"俭","4FED","儉","5109"
"减","51CF","減","6E1B"
"荐","8350","薦","85A6"
"槛","69DB","檻","6ABB"
"鉴","9274","鑒","9452"
"践","8DF5","踐","8E10"
"贱","8D31","賤","8CE4"
"见","89C1","見","898B"
"键","952E","鍵","9375"
"舰","8230","艦","8266"
"剑","5251","劍","528D"
"饯","996F","餞","991E"
"渐","6E10","漸","6F38"
"溅","6E85","濺","6FFA"
"涧","6DA7","澗","6F97"
"将","5C06","將","5C07"
"浆","6D46","漿","6F3F"
"蒋","848B","蔣","8523"
"桨","6868","槳","69F3"
"奖","5956","獎","734E"
"讲","8BB2","講","8B1B"
"酱","9171","醬","91AC"
"胶","80F6","膠","81A0"
"浇","6D47","澆","6F86"
"骄","9A84","驕","9A55"
"娇","5A07","嬌","5B0C"
"搅","6405","攪","652A"
"铰","94F0","鉸","9278"
"矫","77EB","矯","77EF"
"侥","4FA5","僥","50E5"
"脚","811A","腳","8173"
"饺","997A","餃","9903"
"缴","7F34","繳","7E73"
"绞","7EDE","絞","7D5E"
"轿","8F7F","轎","8F4E"
"较","8F83","較","8F03"
"阶","9636","階","968E"
"节","8282","節","7BC0"
"杰","6770","傑","5091"
"洁","6D01","潔","6F54"
"结","7ED3","結","7D50"
"诫","8BEB","誡","8AA1"
"届","5C4A","屆","5C46"
"紧","7D27","緊","7DCA"
"锦","9526","錦","9326"
"仅","4EC5","僅","50C5"
"谨","8C28","謹","8B39"
"进","8FDB","進","9032"
"晋","664B","晉","6649"
"烬","70EC","燼","71FC"
"尽","5C3D","盡","76E1"
"劲","52B2","勁","52C1"
"荆","8346","荊","834A"
"茎","830E","莖","8396"
"鲸","9CB8","鯨","9BE8"
"惊","60CA","驚","9A5A"
"经","7ECF","經","7D93"
"颈","9888","頸","9838"
"静","9759","靜","975C"
"镜","955C","鏡","93E1"
"径","5F84","徑","5F91"
"痉","75C9","痙","75D9"
"竞","7ADE","競","7AF6"
"净","51C0","淨","6DE8"
"纠","7EA0","糾","7CFE"
"厩","53A9","廄","5EC4"
"旧","65E7","舊","820A"
"驹","9A79","駒","99D2"
"举","4E3E","舉","8209"
"据","636E","據","64DA"
"锯","952F","鋸","92F8"
"惧","60E7","懼","61FC"
"剧","5267","劇","5287"
"鹃","9E43","鵑","9D51"
"绢","7EE2","絹","7D79"
"觉","89C9","覺","89BA"
"决","51B3","決","6C7A"
"诀","8BC0","訣","8A23"
"绝","7EDD","絕","7D55"
"钧","94A7","鈞","921E"
"军","519B","軍","8ECD"
"骏","9A8F","駿","99FF"
"开","5F00","開","958B"
"凯","51EF","凱","51F1"
"颗","9897","顆","9846"
"壳","58F3","殼","6BBC"
"课","8BFE","課","8AB2"
"垦","57A6","墾","58BE"
"恳","6073","懇","61C7"
"抠","62A0","摳","6473"
"库","5E93","庫","5EAB"
"裤","88E4","褲","8932"
"夸","5938","誇","8A87"
"块","5757","塊","584A"
"侩","4FA9","儈","5108"
"宽","5BBD","寬","5BEC"
"矿","77FF","礦","7926"
"旷","65F7","曠","66E0"
"况","51B5","況","6CC1"
"亏","4E8F","虧","8667"
"岿","5CBF","巋","5DCB"
"窥","7AA5","窺","7ABA"
"馈","9988","饋","994B"
"溃","6E83","潰","6F70"
"扩","6269","擴","64F4"
"阔","9614","闊","95CA"
"蜡","8721","蠟","881F"
"腊","814A","臘","81D8"
"莱","83B1","萊","840A"
"来","6765","來","4F86"
"赖","8D56","賴","8CF4"
"蓝","84DD","藍","85CD"
"栏","680F","欄","6B04"
"拦","62E6","攔","6514"
"篮","7BEE","籃","7C43"
"阑","9611","闌","95CC"
"兰","5170","蘭","862D"
"澜","6F9C","瀾","703E"
"谰","8C30","讕","8B95"
"揽","63FD","攬","652C"
"览","89C8","覽","89BD"
"懒","61D2","懶","61F6"
"缆","7F06","纜","7E9C"
"烂","70C2","爛","721B"
"滥","6EE5","濫","6FEB"
